season,matches,gravity,gravity_lo,gravity_hi,gravity_rank,gravity_of,actions,minutes,npxg90,xa90,kp90,xgchain90,xgbuildup90,goals_np,assists,xa90_rank,npxg90_rank,players_ranked,crowd_kp,crowd_lo,crowd_hi,decoy,decoy_lo,decoy_hi,cae,cae_lo,cae_hi,cae_rank,cae_of
2004/2005,7,0.04251856187452706,-0.02878743472623637,0.10059517216290696,,10,108,92,0.563432536551724,0.19138607477313974,0.9800362976406533,1.4360747808348457,0.2039797666061706,1,0,,,11,0.0,0.0,0.0,,,,-0.05885608113143727,-0.1425634451604841,0.04284883305538328,,5.0
2005/2006,17,0.16424423059733126,0.11242323395977386,0.21593574750268518,1.0,18,1344,948,0.45679979613270527,0.15381014429605677,1.233569972587334,0.9170559538627256,0.2633470595153581,6,1,5.0,2.0,11,-0.002040980366103517,-0.027129187345512062,0.02737491876387771,-0.2474720361738727,-0.4826607302148829,-0.04675651251878918,0.005470024175155376,-0.03188732613355158,0.034341198767576124,10.0,11.0
2006/2007,26,0.10442684034046708,0.06810814384656363,0.1396662705954406,1.0,20,3347,2085,0.3505742310102627,0.21098358655024138,1.5969180600402828,1.1068281127810995,0.4661850869418778,14,2,4.0,2.0,13,-0.01341456885542193,-0.033171309198966964,0.009414284210129013,-0.2426102818499209,-0.35829890342401993,-0.11992834371670434,0.01796915804067882,0.00160680710526952,0.03149094236598497,4.0,15.0
2007/2008,27,0.11357268806122682,0.08196470225836436,0.14345798216026595,1.0,21,3469,2009,0.2308010548058736,0.2392307077152813,1.702339472374316,1.0210318264330518,0.45494862760527627,4,12,3.0,4.0,14,-0.005945687694953493,-0.024823103882276865,0.023096471393451636,-0.15576543921771163,-0.27197156831358643,-0.03630673160691185,0.00747374009846214,-0.006668609524779957,0.024665068075135053,8.0,17.0
2008/2009,31,0.08412992077438482,0.047866005519391124,0.12140085016370074,1.0,19,4810,2640,0.4701979244341207,0.307258170027647,2.317801370987086,1.4983960297737755,0.6584435248112054,20,11,2.0,3.0,14,0.003059745676439742,-0.01683178130584184,0.02426255945894016,-0.2144187224129038,-0.32874586083425894,-0.10429474714158782,0.022202464601464494,0.007358955692741328,0.03663441263011164,6.0,17.0
2009/2010,35,0.09657506202262908,0.06321519195981287,0.12678250308793554,1.0,20,5689,2964,0.6121547880126178,0.2341800125197501,1.7914274629316211,1.2711756603491764,0.39059236239374295,33,10,3.0,1.0,14,0.006454742465529854,-0.010333335365376712,0.026128840884732024,-0.19910993857384163,-0.3038784628569459,-0.09122303292292415,0.014537694070143032,-3.402031120247438e-06,0.030838593878865696,10.0,19.0
2010/2011,33,0.06668050996802112,0.04127995270869422,0.09332934567571573,1.0,20,7441,2988,0.6336724710516953,0.27498901053145375,2.01826366846477,1.3803203730369338,0.4531397456099698,27,18,1.0,1.0,14,0.016393864693421165,0.0018375078846315787,0.030406683766918276,-0.17374290409070242,-0.2869279153584056,-0.05905936950117575,0.0007985686187548304,-0.012784890086273516,0.013810625917438342,15.0,18.0
2011/2012,37,0.0759506486020768,0.05470919313845905,0.10024126655352801,1.0,22,7995,3407,0.7141650408201847,0.2988860197360967,2.377772232904258,1.5078265888999143,0.41089791555562066,40,16,2.0,1.0,15,0.027168666534394564,0.007511911702793799,0.04757809183448241,-0.2746758865584108,-0.3945330885606887,-0.1585317531593148,0.004395447721147301,-0.008897127351235736,0.017840725920429176,15.0,17.0
2012/2013,32,0.0754217884553446,0.04717064735373271,0.1049992492155175,1.0,20,5959,2755,0.6160380256954109,0.14483262011034623,1.5354087768757039,1.20121533164866,0.40681053494815433,42,10,6.0,1.0,15,-0.007114474617577599,-0.018454526834778676,0.00476103094861744,-0.264072048494058,-0.396875946751642,-0.13375623723804456,0.008146372023784293,-0.0053059958248953005,0.02327950954603305,11.0,19.0
2013/2014,31,0.07031394243110135,0.04156947340024956,0.1007624259579022,2.0,21,4936,2613,0.6258485878450358,0.2189780392538741,2.4449971302850586,1.3992737254746515,0.4555728066290416,22,11,3.0,1.0,14,0.044123420075692824,0.014375723427272905,0.07587631494989322,-0.2862525845448879,-0.39961488698569003,-0.17944666473901344,0.016534956583476992,0.005350845358057605,0.028205850066953378,7.0,17.0
